Twitter ID,Removal observed,Reversal observed,Reason
1204242402103267328,1784274679,,Unverified
1212225001258024960,1784274679,,Unverified
1231191627357548544,1784274742,,Unverified
1232783237623119872,1784274742,,Unverified
1234828109385474052,1784274742,,Unverified
1234897658407456768,1784297539,,Suspended
1235549883316285440,1784274742,,Unverified
1240040634905432065,1784274742,,Unverified
1252364845808222208,1784274804,,Unverified
1254514161708564480,1784274804,,Unverified
1254871009003536384,1784297539,,Deactivated
1256223923349446657,1784297539,,Deactivated
1263252627225280512,1784274804,,Unverified
1268059780477710337,1784274804,,Unverified
1273358447908737024,1784297539,,Deactivated
1277606753337659393,1784274804,,Unverified
1286753931834646529,1784274866,,Unverified
1293572831247249409,1784274866,,Unverified
1303819846526750720,1784274866,,Unverified
1304245852282650624,1784297539,,Deactivated
1313634247400255490,1784274928,,Unverified
1322890711667253248,1784274928,,Unverified
1340567539483635712,1784274928,,Unverified
1341621248900562944,1784274928,,Unverified
1342041279207772160,1784274928,,Unverified
1343627416120532992,1784274928,,Unverified
1347218174186573831,1784297539,,Deactivated
1351716580720316417,1784274991,,Unverified
1359697713156161538,1784274991,,Unverified
1362425776071577601,1784274991,,Unverified
1363841111207383041,1784297539,,Deactivated
1384479678820458499,1771138049,1784271805,Unverified
1402341454249443334,1784297539,,Deactivated
1404803870426079251,1784275053,,Unverified
1411007665350725632,1784275053,,Unverified
1411601982641614854,1784275053,,Unverified
1427396718845300748,1784275053,,Unverified
1435835211237912582,1784275115,,Unverified
1436988262581776386,1784275115,,Unverified
1439957849539428360,1784275115,,Unverified
1444963732854018054,1784275115,,Unverified
1448368746041647108,1784275115,,Unverified
1450063871704645634,1784275115,,Unverified
1452706961565396996,1784275115,,Unverified
1454004915039182851,1784275115,,Unverified
1455562738357444625,1784275115,,Unverified
1458707103586078723,1784275115,,Unverified
1466923845919678470,1771138049,,Unverified
1470650823307055104,1771138049,,Deactivated
1471376293120065536,1784275177,,Unverified
1483910384427966472,1784275177,,Unverified
1484648623866626049,1784275177,,Unverified
1493431464154726402,1784297539,,Deactivated
1500107451248812032,1784275177,,Unverified
1500867239674843143,1784275177,,Unverified
1513061990914310144,1784275177,,Unverified
1513896285367156737,1784275240,,Unverified
1518590353875476481,1784275240,,Unverified
1519776951036170240,1784275240,,Unverified
1527270662850482176,1784275240,,Unverified
1528327082727591943,1784275240,,Unverified
1532052571715735554,1784297539,,Deactivated
1533868138475008001,1784275240,,Unverified
1534792575902789632,1784297539,,Deactivated
1536377758762377219,1784275240,,Unverified
1537415009545895936,1784297539,,Deactivated
1540016178122350592,1784297539,,Deactivated
1541185813698203648,1784275240,,Unverified
1541516387084107779,1784297539,,Deactivated
1542141841725865984,1784297539,,Deactivated
1544313416290078720,1784297539,,Deactivated
1556744702921244675,1784275240,,Unverified
1566803739545051136,1784297539,,Deactivated
1567278151805329413,1784275302,,Unverified
1569416439831863297,1784275302,,Unverified
1572463626849759233,1784275302,,Unverified
1575192262467895298,1784275302,,Unverified
1583516122061672473,1784275302,,Unverified
1586004427709743104,1784297539,,Deactivated
1587055171598798849,1784297539,,Deactivated
1587229514190688256,1784275302,,Unverified
1589608699202502658,1784297539,,Deactivated
1590315856936026112,1784297539,,Deactivated
1590736103941804033,1784297539,,Deactivated
1593462212722495489,1784275302,,Unverified
1603612021232132096,1784297539,,Deactivated
1604632586604666881,1784275302,,Unverified
1609922672275689472,1784297539,,Deactivated
1611702797849837568,1784297539,,Deactivated
1613256949142790149,1784297539,,Deactivated
1616925681820000260,1784275364,,Unverified
1620051788211650561,1784297539,,Deactivated
1623860894873829376,1784275364,,Unverified
1625244042446381056,1784275364,,Unverified
1625249380734234649,1784275364,,Unverified
1625801301224312833,1771138050,,Unverified
1625882616875417605,1784275364,,Unverified
1630449651035013121,1784297539,,Deactivated
1633964118431477761,1784297539,,Deactivated
1635732398380838913,1784297539,,Deactivated
1635965793593708547,1784275364,,Unverified
1643613168613175308,1784275364,,Unverified
1649507519159566337,1784275364,,Unverified
